gene_id,890_hisat2,913_hisat2,933_hisat2
BBB50_RS03395,12391,10299,12748
BBB50_RS03400,26944,20920,24881
BBB50_RS03405,24894,17916,22223
BBB50_RS03410,7570,5580,7584
BBB50_RS03415,4781,3607,4221
BBB50_RS03420,2543,2319,2920
BBB50_RS03425,15642,12141,13283
BBB50_RS03430,18488,20422,23045
BBB50_RS03435,20995,17091,19023
BBB50_RS03440,167988,151565,166815
BBB50_RS03445,54483,54083,62064
BBB50_RS03450,6947,6896,8847
BBB50_RS03455,26461,25015,26696
BBB50_RS03460,8023,8253,8814
BBB50_RS03465,4914,4865,6014
BBB50_RS03470,4887,5445,6541
BBB50_RS03475,18231,23761,26764
BBB50_RS03480,29975,68179,47262
BBB50_RS03485,8805,12678,14841
BBB50_RS03490,29910,39311,43321
BBB50_RS03495,6743,8620,9437
BBB50_RS03500,7452,8536,9957
BBB50_RS03505,3050,3041,3273
BBB50_RS03510,2050,2230,2212
BBB50_RS03515,36472,34295,39936
BBB50_RS03520,8786,8402,11599
BBB50_RS03525,7488,7332,8460
BBB50_RS03530,9785,4512,4864
BBB50_RS03535,19962,37746,47108
BBB50_RS03540,14944,21215,26321
BBB50_RS03545,1653,1418,1832
BBB50_RS03550,9837,9344,13274
BBB50_RS03555,10478,8570,8539
BBB50_RS03560,20217,21767,20457
BBB50_RS03565,7975,6878,7381
BBB50_RS03570,21393,18882,18907
BBB50_RS03575,22598,17871,19630
BBB50_RS03580,322406,489552,407272
BBB50_RS03585,8697,9018,9368
BBB50_RS03590,12815,12022,12357
BBB50_RS03595,8071,5764,9380
BBB50_RS03600,23620,20342,31481
BBB50_RS03605,7144,5591,6685
BBB50_RS03610,3716,8341,8789
BBB50_RS03615,14128,14174,14832
BBB50_RS03620,7455,8490,7791
BBB50_RS03625,3509,2614,2611
BBB50_RS03630,211,119,99
BBB50_RS03635,768,630,867
BBB50_RS03640,6869,8705,10146
BBB50_RS03645,8673,7423,7641
BBB50_RS03650,184762,190694,164394
BBB50_RS03655,13520,11275,14704
BBB50_RS03660,247409,273821,180853
BBB50_RS03665,4375,36169,33357
BBB50_RS03670,139656,288697,213050
BBB50_RS03675,100904,129068,131386
BBB50_RS03680,208574,309917,352371
BBB50_RS03685,25763,21384,22602
BBB50_RS03690,30622,24609,24247
BBB50_RS03695,12930,10469,10524
BBB50_RS03700,27833,27893,26702
BBB50_RS03705,78601,76626,69752
BBB50_RS03710,33690,30124,33020
BBB50_RS03715,92284,51527,50215
BBB50_RS03720,89960,43049,45534
BBB50_RS03725,41680,33392,35250
BBB50_RS03730,40387,33844,29368
BBB50_RS03735,74536,58460,52339
BBB50_RS03740,178890,129745,116126
BBB50_RS03745,32056,29126,29593
BBB50_RS03750,28451,23027,22431
BBB50_RS03755,9798,7154,7144
BBB50_RS03760,35796,25987,23594
BBB50_RS03765,17872,13229,12190
BBB50_RS03770,63273,53641,48992
BBB50_RS03775,27806,21938,23065
BBB50_RS03785,209308,181499,149075
BBB50_RS03790,181362,241729,193384
BBB50_RS03795,287,170,353
BBB50_RS03800,26,13,31
BBB50_RS03805,683,580,688
BBB50_RS03810,77,62,85
BBB50_RS03815,6,6,4
BBB50_RS03820,209,145,168
BBB50_RS03825,145,93,110
BBB50_RS03830,26,14,16
BBB50_RS03835,284,145,204
BBB50_RS03840,62,32,27
BBB50_RS03845,6,12,5
BBB50_RS03850,435,346,303
BBB50_RS03855,56,48,49
